2020-04-02 16:49:26.610  INFO [sipladservicediscovery,,,] 9064 --- [Thread-12] c.n.e.r.PeerAwareInstanceRegistryImpl    : Got 1 instances from neighboring DS node
2020-04-02 16:49:26.610  INFO [sipladservicediscovery,,,] 9064 --- [Thread-12] c.n.e.r.PeerAwareInstanceRegistryImpl    : Renew threshold is: 1
2020-04-02 16:49:26.611  INFO [sipladservicediscovery,,,] 9064 --- [Thread-12] c.n.e.r.PeerAwareInstanceRegistryImpl    : Changing status to UP
2020-04-02 16:49:26.619  INFO [sipladservicediscovery,,,] 9064 --- [Thread-12] e.s.EurekaServerInitializerConfiguration : Started Eureka Server
2020-04-02 16:49:26.647  INFO [sipladservicediscovery,,,] 9064 --- [main] c.s.j.s.i.a.WebApplicationImpl           : Initiating Jersey application, version 'Jersey: 1.19.1 03/11/2016 02:08 PM'
2020-04-02 16:49:26.674  INFO [sipladservicediscovery,,,] 9064 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using JSON encoding codec LegacyJacksonJson
2020-04-02 16:49:26.674  INFO [sipladservicediscovery,,,] 9064 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using JSON decoding codec LegacyJacksonJson
2020-04-02 16:49:26.674  INFO [sipladservicediscovery,,,] 9064 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using XML encoding codec XStreamXml
2020-04-02 16:49:26.674  INFO [sipladservicediscovery,,,] 9064 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using XML decoding codec XStreamXml
2020-04-02 16:49:26.913  INFO [sipladservicediscovery,,,] 9064 --- [main] io.undertow                              : starting server: Undertow - 2.0.29.Final
2020-04-02 16:49:26.919  INFO [sipladservicediscovery,,,] 9064 --- [main] org.xnio                                 : XNIO version 3.3.8.Final
2020-04-02 16:49:26.928  INFO [sipladservicediscovery,,,] 9064 --- [main] org.xnio.nio                             : XNIO NIO Implementation Version 3.3.8.Final
2020-04-02 16:49:27.016  INFO [sipladservicediscovery,,,] 9064 --- [main] o.s.b.w.e.u.UndertowServletWebServer     : Undertow started on port(s) 8800 (http) with context path ''
2020-04-02 16:49:27.017  INFO [sipladservicediscovery,,,] 9064 --- [main] .s.c.n.e.s.EurekaAutoServiceRegistration : Updating port to 8800
2020-04-02 16:49:28.166  INFO [sipladservicediscovery,,,] 9064 --- [main] o.s.cloud.commons.util.InetUtils         : Cannot determine local hostname
2020-04-02 16:49:28.167  INFO [sipladservicediscovery,,,] 9064 --- [main] .d.s.s.SipladServiceDiscoveryApplication : Started SipladServiceDiscoveryApplication in 10.62 seconds (JVM running for 11.385)
2020-04-02 16:49:33.793  INFO [sipladservicediscovery,,,] 9064 --- [XNIO-1 task-1] io.undertow.servlet                      : Initializing Spring DispatcherServlet 'dispatcherServlet'
